Time,Subject,Midline
0.10156,CTEEG_Control_42,1.32e-6
0.10156,CTEEG_Control_43,1.4e-6
0.10156,CTEEG_Control_46,2.81e-6
0.10156,CTEEG_Control_47,8.68e-7
0.10156,CTEEG_Control_48,1.27e-6
0.10156,CTEEG_Control_51,8.84e-7
0.10156,CTEEG_Control_52,6.5e-6
0.10156,CTEEG_Control_53,1.35e-6
0.10156,CTEEG_Control_54,1.07e-6
0.10156,CTEEG_Control_55,1.5e-6
0.10156,CTEEG_Control_56,1.22e-6
0.10156,CTEEG_Control_59,1.87e-6
0.10156,CTEEG_Control_61,2.14e-6
0.10156,CTEEG_Control_62,5.59e-7
0.10156,CTEEG_Control_65,1.25e-6
0.10938,CTEEG_Control_30,1.41e-6
0.10938,CTEEG_Control_31,2.03e-6
0.10938,CTEEG_Control_32,2.57e-6
0.10938,CTEEG_Control_33,1.64e-6
0.10938,CTEEG_Control_34,2.19e-6
0.10938,CTEEG_Control_35,7.25e-7
0.10938,CTEEG_Control_36,3.08e-6
0.10938,CTEEG_Control_37,1.72e-6
0.10938,CTEEG_Control_38,1.5e-6
0.10938,CTEEG_Control_41,1.88e-6
0.10938,CTEEG_Control_42,1.33e-6
0.10938,CTEEG_Control_43,1.39e-6
0.10938,CTEEG_Control_46,2.79e-6
0.10938,CTEEG_Control_47,8.63e-7
0.10938,CTEEG_Control_48,1.26e-6
0.10938,CTEEG_Control_51,8.73e-7
0.10938,CTEEG_Control_52,6.5e-6
0.10938,CTEEG_Control_53,1.35e-6
0.10938,CTEEG_Control_54,1.04e-6
0.10938,CTEEG_Control_55,1.47e-6
0.10938,CTEEG_Control_56,1.22e-6
0.10938,CTEEG_Control_59,1.86e-6
0.10938,CTEEG_Control_61,2.19e-6
0.10938,CTEEG_Control_62,5.62e-7
0.10938,CTEEG_Control_65,1.25e-6
0.11719,CTEEG_Control_30,1.39e-6
0.11719,CTEEG_Control_31,2.01e-6
0.11719,CTEEG_Control_32,2.53e-6
0.11719,CTEEG_Control_33,1.62e-6
0.11719,CTEEG_Control_34,2.16e-6
0.11719,CTEEG_Control_35,7.29e-7
0.11719,CTEEG_Control_36,3.06e-6
0.11719,CTEEG_Control_37,1.71e-6
0.11719,CTEEG_Control_38,1.5e-6
0.11719,CTEEG_Control_41,1.87e-6
0.11719,CTEEG_Control_42,1.34e-6
0.11719,CTEEG_Control_43,1.37e-6
0.11719,CTEEG_Control_46,2.77e-6
0.11719,CTEEG_Control_47,8.59e-7
0.11719,CTEEG_Control_48,1.26e-6
0.11719,CTEEG_Control_51,8.64e-7
0.11719,CTEEG_Control_52,6.51e-6
0.11719,CTEEG_Control_53,1.35e-6
0.11719,CTEEG_Control_54,1.03e-6
0.11719,CTEEG_Control_55,1.44e-6
0.11719,CTEEG_Control_56,1.22e-6
0.11719,CTEEG_Control_59,1.84e-6
0.11719,CTEEG_Control_61,2.24e-6
0.11719,CTEEG_Control_62,5.67e-7
0.11719,CTEEG_Control_65,1.25e-6
0.125,CTEEG_Control_30,1.38e-6
0.125,CTEEG_Control_31,1.99e-6
0.125,CTEEG_Control_32,2.49e-6
0.125,CTEEG_Control_33,1.6e-6
0.125,CTEEG_Control_34,2.13e-6
0.125,CTEEG_Control_35,7.33e-7
0.125,CTEEG_Control_36,3.03e-6
0.125,CTEEG_Control_37,1.7e-6
0.125,CTEEG_Control_38,1.5e-6
0.125,CTEEG_Control_41,1.86e-6
0.125,CTEEG_Control_42,1.36e-6
0.125,CTEEG_Control_43,1.36e-6
0.125,CTEEG_Control_46,2.74e-6
0.125,CTEEG_Control_47,8.57e-7
0.125,CTEEG_Control_48,1.25e-6
0.125,CTEEG_Control_51,8.56e-7
0.125,CTEEG_Control_52,6.5e-6
0.125,CTEEG_Control_53,1.36e-6
0.125,CTEEG_Control_54,1.01e-6
0.125,CTEEG_Control_55,1.41e-6
0.125,CTEEG_Control_56,1.21e-6
0.125,CTEEG_Control_59,1.83e-6
0.125,CTEEG_Control_61,2.29e-6
0.125,CTEEG_Control_62,5.71e-7
0.125,CTEEG_Control_65,1.24e-6
0.13281,CTEEG_Control_30,1.36e-6
0.13281,CTEEG_Control_31,1.97e-6
0.13281,CTEEG_Control_32,2.45e-6
0.13281,CTEEG_Control_33,1.59e-6
0.13281,CTEEG_Control_34,2.11e-6
0.13281,CTEEG_Control_35,7.38e-7
0.13281,CTEEG_Control_36,3.01e-6
0.13281,CTEEG_Control_37,1.69e-6
0.13281,CTEEG_Control_38,1.5e-6
0.13281,CTEEG_Control_41,1.86e-6
0.13281,CTEEG_Control_42,1.37e-6
0.13281,CTEEG_Control_43,1.34e-6
0.13281,CTEEG_Control_46,2.71e-6
0.13281,CTEEG_Control_47,8.56e-7
0.13281,CTEEG_Control_48,1.25e-6
0.13281,CTEEG_Control_51,8.5e-7
0.13281,CTEEG_Control_52,6.5e-6
0.13281,CTEEG_Control_53,1.37e-6
0.13281,CTEEG_Control_54,9.86e-7
0.13281,CTEEG_Control_55,1.38e-6
0.13281,CTEEG_Control_56,1.21e-6
0.13281,CTEEG_Control_59,1.81e-6
0.13281,CTEEG_Control_61,2.35e-6
0.13281,CTEEG_Control_62,5.76e-7
0.13281,CTEEG_Control_65,1.24e-6
0.14062,CTEEG_Control_30,1.36e-6
0.14062,CTEEG_Control_31,1.95e-6
0.14062,CTEEG_Control_32,2.41e-6
0.14062,CTEEG_Control_33,1.57e-6
0.14062,CTEEG_Control_34,2.08e-6
0.14062,CTEEG_Control_35,7.44e-7
0.14062,CTEEG_Control_36,2.98e-6
0.14062,CTEEG_Control_37,1.69e-6
0.14062,CTEEG_Control_38,1.5e-6
0.14062,CTEEG_Control_41,1.85e-6
0.14062,CTEEG_Control_42,1.38e-6
0.14062,CTEEG_Control_43,1.33e-6
0.14062,CTEEG_Control_46,2.69e-6
0.14062,CTEEG_Control_47,8.57e-7
0.14062,CTEEG_Control_48,1.24e-6
0.14062,CTEEG_Control_51,8.46e-7
0.14062,CTEEG_Control_52,6.48e-6
0.14062,CTEEG_Control_53,1.38e-6
0.14062,CTEEG_Control_54,9.67e-7
0.14062,CTEEG_Control_55,1.35e-6
0.14062,CTEEG_Control_56,1.21e-6
0.14062,CTEEG_Control_59,1.8e-6
0.14062,CTEEG_Control_61,2.4e-6
0.14062,CTEEG_Control_62,5.8e-7
0.14062,CTEEG_Control_65,1.24e-6
0.14844,CTEEG_Control_30,1.35e-6
0.14844,CTEEG_Control_31,1.92e-6
0.14844,CTEEG_Control_32,2.37e-6
0.14844,CTEEG_Control_33,1.55e-6
0.14844,CTEEG_Control_34,2.05e-6
0.14844,CTEEG_Control_35,7.5e-7
0.14844,CTEEG_Control_36,2.96e-6
0.14844,CTEEG_Control_37,1.68e-6
0.14844,CTEEG_Control_38,1.5e-6
0.14844,CTEEG_Control_41,1.85e-6
0.14844,CTEEG_Control_42,1.39e-6
0.14844,CTEEG_Control_43,1.31e-6
0.14844,CTEEG_Control_46,2.65e-6
0.14844,CTEEG_Control_47,8.58e-7
0.14844,CTEEG_Control_48,1.23e-6
0.14844,CTEEG_Control_51,8.44e-7
0.14844,CTEEG_Control_52,6.47e-6
0.14844,CTEEG_Control_53,1.39e-6
0.14844,CTEEG_Control_54,9.51e-7
0.14844,CTEEG_Control_55,1.32e-6
0.14844,CTEEG_Control_56,1.21e-6
0.14844,CTEEG_Control_59,1.79e-6
0.14844,CTEEG_Control_61,2.46e-6
0.14844,CTEEG_Control_62,5.86e-7
0.14844,CTEEG_Control_65,1.23e-6
0.15625,CTEEG_Control_30,1.34e-6
0.15625,CTEEG_Control_31,1.9e-6
0.15625,CTEEG_Control_32,2.33e-6
0.15625,CTEEG_Control_33,1.53e-6
0.15625,CTEEG_Control_34,2.02e-6
0.15625,CTEEG_Control_35,7.57e-7
0.15625,CTEEG_Control_36,2.93e-6
0.15625,CTEEG_Control_37,1.67e-6
0.15625,CTEEG_Control_38,1.5e-6
0.15625,CTEEG_Control_41,1.84e-6
0.15625,CTEEG_Control_42,1.41e-6
0.15625,CTEEG_Control_43,1.3e-6
0.15625,CTEEG_Control_46,2.62e-6
0.15625,CTEEG_Control_47,8.6e-7
0.15625,CTEEG_Control_48,1.23e-6
0.15625,CTEEG_Control_51,8.46e-7
0.15625,CTEEG_Control_52,6.44e-6
0.15625,CTEEG_Control_53,1.4e-6
0.15625,CTEEG_Control_54,9.34e-7
0.15625,CTEEG_Control_55,1.29e-6
0.15625,CTEEG_Control_56,1.2e-6
0.15625,CTEEG_Control_59,1.77e-6
