"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials","performance_scale"
"112","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"113","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"114","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"115","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"116","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"117","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"118","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"119","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"120","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"121","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"122","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"123","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"124","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"125","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"126","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"127","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"128","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"129","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"130","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"131","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"132","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"133","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"134","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"135","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"136","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"137","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"138","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"139","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"140","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"141","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"142","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"143","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"144","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"145","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"146","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"147","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"148","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"149","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"150","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"151","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"152","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"153","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"154","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"155","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"156","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"157","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"158","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"159","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"160","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"161","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"162","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"163","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"164","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"165","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"166","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"167","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"168","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"169","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"170","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"171","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"172","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"173","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"174","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"175","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"176","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"177","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"178","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"179","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"180","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"181","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"182","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"183","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"184","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"185","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"186","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"187","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"188","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"189","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"190","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"191","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"192","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"193","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"194","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"195","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"196","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"197","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"198","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"199","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"200","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"201","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"202","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"203","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"204","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"205","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"206","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"207","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"208","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"209","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"210","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"211","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"212","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"213","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"214","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"215","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"216","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"217","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"218","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"219","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"220","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"221","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"222","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"223","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
