"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","class"
"40","C18",-0.364,1.033,0.153,0.891,0.440386680988185,0.559613319011815,-0.375,2.14,0.448,0.143,0.578,0.304,0.425251440289034,0.188848745239723,0.385899814471243,0.695,2.152,0.071,-0.432,0.187,0.571,0.173,0.088,0.209940435504345,0.186798164241773,0.260130846597012,0.343130553656869,0.755,-0.114,-0.439,0.257,2.143,0.143,0.085,0.083,0.115,0.576,0.168440581974417,0.12987012987013,0.330534127526609,0.182892295674251,0.188262864954594,"experiment"
"41","C19",-0.605,0.014,0.086,0.33,0.49826443673083,0.50173556326917,-0.677,0.073,-0.5,0.042,0.313,0.073,0.253155569580309,0.4367308299148,0.310113600504891,-0.68,0.262,-0.542,-0.266,0.041,0.269,0.04,0.113,0.243531082360366,0.259151151782897,0.234616598295992,0.262701167560745,-0.64,-0.536,-0.708,-0.235,0.309,0.02,0.04,0.031,0.127,0.26,0.120621647207321,0.227358788261281,0.136320605869359,0.291969075418113,0.223729883243926,"experiment"
"42","C20",-0.11,-0.672,0.218,0.132,0.618793503480278,0.381206496519722,-0.54,-0.101,-0.777,0.069,0.215,0.077,0.192807424593968,0.602320185614849,0.204872389791183,-0.52,-0.771,0.129,-0.223,0.078,0.079,0.193,0.062,0.202397525135344,0.214075792730085,0.216550657385924,0.366976024748647,-0.749,-0.307,-0.192,0.103,-0.511,0.09,0.043,0.022,0.198,0.052,0.252977571539056,0.149574632637278,0.212219644238206,0.24215003866976,0.1430781129157,"experiment"
"43","C21",-0.335,0.353,0.199,0.252,0.47081303143212,0.52918696856788,-0.432,0.448,-0.021,0.149,0.216,0.091,0.335053023789051,0.400305722747683,0.264641253463266,-0.432,0.333,0.662,-0.006,0.15,0.052,0.208,0.103,0.335530715582306,0.228050062099933,0.150186299799369,0.286232922518391,-0.307,-0.539,-0.107,0.452,0.059,0.055,0.113,0.049,0.214,0.051,0.146173688736028,0.183338110251266,0.133084933600841,0.394382344511321,0.143020922900545,"experiment"
"44","C22",1.941,0.183,1.034,0.417,0.391558275356586,0.608441724643414,2.032,0.589,-0.143,1.033,0.199,0.28,0.356795495264909,0.320334132210252,0.322870372524839,2.844,1.287,0.522,-0.156,1.062,0.272,0.162,0.275,0.159713335039672,0.244060776694511,0.283989110454429,0.312236777811387,2.846,1.289,0.079,0.541,-0.392,1.062,0.272,0.114,0.152,0.201,0.15943411592247,0.243269655862438,0.181027060986109,0.266933476045327,0.149335691183656,"experiment"
"45","C23",1.604,0.444,0.49,0.339,0.359542857142857,0.640457142857143,0.848,1.75,0.199,0.144,0.449,0.21,0.340495238095238,0.284495238095238,0.375009523809524,0.856,0.049,1.749,0.408,0.137,0.141,0.449,0.101,0.328990476190476,0.212266666666667,0.284647619047619,0.174095238095238,0.783,0.201,1.604,2.369,1.105,0.096,0.212,0.143,0.299,0.103,0.249980952380952,0.377219047619048,0.157104761904762,0.0784761904761905,0.137219047619048,"experiment"
"46","C24",0.146,-0.54,0.292,0.181,0.346979158635931,0.653020841364069,-0.32,0.199,-0.648,0.075,0.277,0.127,0.276925449078714,0.301184694061111,0.421889856860175,-0.307,-0.76,-0.534,0.199,0.067,0.082,0.059,0.277,0.248914244596921,0.201243800272403,0.24798910389844,0.301852851232236,-0.534,0.485,-0.76,0.009,-0.314,0.059,0.229,0.082,0.112,0.06,0.248323182484003,0.114897335080821,0.201295196977874,0.200781229923162,0.23470305553414,"experiment"
"47","C49",-0.538,0.161,0.196,0.43,0.473277590337881,0.526722409662119,-0.678,0.326,-0.23,0.128,0.467,0.126,0.276514595863283,0.331181849298323,0.392303554838394,-0.27,1.145,-0.682,0.107,0.107,0.59,0.126,0.115,0.330448388831842,0.0598014767004059,0.272016038335534,0.337734096132218,-0.719,-0.234,-0.843,-0.564,0.323,0.036,0.127,0.032,0.043,0.466,0.0657180577966848,0.394895115153293,0.0780890909979952,0.128013300083126,0.333284435968901,"experiment"
"48","C57",-0.857,-0.533,0.064,0.199,0.568199443456047,0.431800556543953,-0.727,-0.887,-0.413,0.049,0.046,0.19,0.338168879156973,0.417772911819716,0.244058209023311,-0.836,-0.919,-0.719,-0.41,0.022,0.031,0.047,0.19,0.200720770037863,0.245517996441768,0.313238447151134,0.240522786369235,-0.76,-0.334,-0.919,-0.648,-0.84,0.025,0.176,0.031,0.043,0.02,0.190023265361982,0.17038456274805,0.242529994069614,0.21098490032389,0.186077277496465,"experiment"
"49","C58",0.088,-0.653,0.382,0.142,0.355182699478002,0.644817300521998,-0.865,0.02,-0.599,0.068,0.397,0.049,0.163758389261745,0.408351976137211,0.427889634601044,-0.392,0.418,-0.13,-0.678,0.07,0.309,0.083,0.13,0.13489932885906,0.164578672632364,0.126771066368382,0.573750932140194,-0.912,-0.285,0.368,-0.781,-0.599,0.033,0.132,0.321,0.05,0.044,0.0992542878448919,0.234451901565996,0.186353467561521,0.0742729306487696,0.405667412378822,"experiment"
"50","C60",-0.413,-0.823,0.218,0.077,0.490743895513913,0.509256104486087,-0.23,-0.837,-0.598,0.18,0.069,0.065,0.23259511641113,0.458716638273708,0.308688245315162,-0.75,-0.576,-0.889,-0.228,0.038,0.052,0.035,0.18,0.250085178875639,0.254968767745599,0.263827370812039,0.231118682566723,-0.511,-0.161,-0.889,-0.642,-0.763,0.047,0.152,0.035,0.038,0.029,0.189097103918228,0.177512776831346,0.26496308915389,0.164792731402612,0.203634298693924,"experiment"
