"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","class"
"11","C42",0.106,0.197,0.028,0.036,0.566332218506132,0.433667781493868,0.091,0.148,0.221,0.022,0.017,0.026,0.375696767001115,0.374581939799331,0.249721293199554,0.111,0.221,0.072,0.15,0.008,0.026,0.017,0.016,0.22742474916388,0.249721293199554,0.178372352285396,0.344481605351171,0.163,0.223,0.108,0.072,0.131,0.011,0.025,0.006,0.017,0.007,0.210702341137124,0.239687848383501,0.177257525083612,0.178372352285396,0.193979933110368,"control"
"12","C43",0.062,0.155,0.022,0.042,0.474916387959866,0.525083612040134,0.156,0.045,0.081,0.042,0.015,0.011,0.511705685618729,0.235228539576366,0.253065774804905,0.197,0.044,0.126,0.081,0.033,0.015,0.012,0.01,0.21850613154961,0.235228539576366,0.302118171683389,0.244147157190635,0.273,0.126,0.08,0.044,0.189,0.015,0.013,0.01,0.015,0.017,0.0256410256410256,0.313266443701226,0.243032329988852,0.235228539576366,0.182831661092531,"control"
"13","C46",0.174,0.266,0.022,0.065,0.603121516164994,0.396878483835006,0.179,0.179,0.298,0.041,0.008,0.043,0.450390189520624,0.284280936454849,0.265328874024526,0.297,0.182,0.211,0.146,0.043,0.005,0.012,0.024,0.269788182831661,0.222965440356745,0.241917502787068,0.265328874024526,0.145,0.287,0.261,0.211,0.179,0.011,0.028,0.155,0.012,0.008,0.17056856187291,0.237458193979933,0.0490523968784838,0.246376811594203,0.29654403567447,"control"
"14","C47",0.143,0.072,0.021,0.021,0.455964325529543,0.544035674470457,0.06,0.095,0.144,0.014,0.007,0.021,0.351170568561873,0.197324414715719,0.451505016722408,0.06,0.095,0.13,0.167,0.014,0.007,0.009,0.011,0.351170568561873,0.199554069119286,0.278706800445931,0.17056856187291,0.12,0.072,0.133,0.146,0.171,0.005,0.021,0.003,0.006,0.009,0.12263099219621,0.544035674470457,0.114827201783724,0.0824972129319955,0.136008918617614,"control"
"15","C48",0.148,0.084,0.027,0.019,0.334448160535117,0.665551839464883,0.098,0.063,0.149,0.009,0.011,0.027,0.404682274247492,0.260869565217391,0.334448160535117,0.149,0.058,0.081,0.1,0.027,0.007,0.005,0.007,0.32329988851728,0.199554069119286,0.11371237458194,0.363433667781494,0.107,0.058,0.08,0.152,0.092,0.006,0.007,0.004,0.026,0.003,0.230769230769231,0.199554069119286,0.103678929765886,0.295429208472687,0.17056856187291,"control"
"16","C51",0.136,0.285,0.025,0.077,0.670011148272018,0.329988851727982,0.294,0.168,0.121,0.075,0.015,0.014,0.299888517279822,0.250836120401338,0.449275362318841,0.177,0.116,0.296,0.144,0.012,0.011,0.075,0.007,0.181716833890747,0.338907469342252,0.294314381270903,0.185061315496098,0.296,0.144,0.122,0.103,0.176,0.075,0.007,0.006,0.01,0.012,0.294314381270903,0.185061315496098,0.229654403567447,0.109253065774805,0.181716833890747,"control"
"17","C52",0.508,0.181,0.208,0.064,0.284280936454849,0.71571906354515,0.23,0.119,0.515,0.039,0.026,0.208,0.416945373467113,0.307692307692308,0.27536231884058,0.518,0.103,0.17,0.254,0.208,0.015,0.021,0.028,0.273132664437012,0.201783723522854,0.250836120401338,0.274247491638796,0.101,0.517,0.255,0.146,0.187,0.014,0.208,0.027,0.011,0.011,0.182831661092531,0.273132664437012,0.269788182831661,0.124860646599777,0.149386845039019,"control"
"18","C53",0.25,0.132,0.052,0.028,0.447045707915273,0.552954292084727,0.314,0.219,0.131,0.039,0.024,0.028,0.141583054626533,0.319955406911929,0.538461538461538,0.219,0.103,0.151,0.314,0.024,0.016,0.013,0.039,0.31438127090301,0.215161649944259,0.328874024526198,0.141583054626533,0.162,0.199,0.139,0.277,0.102,0.007,0.013,0.006,0.046,0.016,0.160535117056856,0.172798216276477,0.166109253065775,0.289855072463768,0.210702341137124,"control"
"19","C54",0.15,0.058,0.045,0.025,0.415830546265329,0.584169453734671,0.032,0.076,0.151,0.015,0.012,0.045,0.230769230769231,0.364548494983278,0.404682274247492,0.194,0.032,0.116,0.074,0.037,0.015,0.014,0.01,0.176142697881828,0.229654403567447,0.270903010033445,0.32329988851728,0.194,0.064,0.118,0.083,0.032,0.036,0.004,0.013,0.007,0.015,0.176142697881828,0.15273132664437,0.246376811594203,0.199554069119286,0.225195094760312,"control"
"20","C55",0.175,0.083,0.04,0.027,0.470457079152731,0.529542920847269,0.118,0.065,0.192,0.016,0.021,0.036,0.352285395763657,0.312151616499443,0.335562987736901,0.211,0.051,0.097,0.142,0.031,0.015,0.011,0.014,0.215161649944259,0.189520624303233,0.297658862876254,0.297658862876254,0.097,0.051,0.239,0.185,0.141,0.011,0.015,0.023,0.012,0.014,0.297658862876254,0.189520624303233,0.0981047937569677,0.127090301003344,0.287625418060201,"control"
"21","C56",0.186,0.115,0.038,0.018,0.420289855072464,0.579710144927536,0.1,0.137,0.202,0.011,0.011,0.036,0.302118171683389,0.411371237458194,0.286510590858417,0.152,0.1,0.13,0.208,0.007,0.011,0.006,0.035,0.186176142697882,0.302118171683389,0.259754738015608,0.251950947603122,0.13,0.1,0.237,0.177,0.15,0.006,0.011,0.026,0.009,0.006,0.259754738015608,0.302118171683389,0.12263099219621,0.150501672240803,0.164994425863991,"control"
"22","C59",0.264,0.145,0.059,0.032,0.409141583054627,0.590858416945373,0.12,0.27,0.174,0.022,0.058,0.014,0.30546265328874,0.374581939799331,0.319955406911929,0.099,0.142,0.181,0.273,0.014,0.012,0.012,0.057,0.134894091415831,0.244147157190635,0.263099219620959,0.357859531772575,0.13,0.154,0.184,0.097,0.275,0.006,0.008,0.012,0.013,0.057,0.117056856187291,0.166109253065775,0.245261984392419,0.124860646599777,0.346711259754738,"control"
"23","C61",0.364,0.182,0.088,0.044,0.284280936454849,0.71571906354515,0.142,0.361,0.214,0.029,0.089,0.018,0.315496098104794,0.295429208472687,0.389074693422519,0.218,0.36,0.108,0.166,0.015,0.089,0.018,0.016,0.327759197324415,0.298773690078038,0.110367892976589,0.263099219620959,0.139,0.36,0.173,0.218,0.095,0.01,0.089,0.012,0.015,0.009,0.109253065774805,0.298773690078038,0.198439241917503,0.324414715719064,0.0691192865105909,"control"
"24","C62",0.054,0.097,0.013,0.018,0.53288740245262,0.46711259754738,0.048,0.111,0.076,0.01,0.012,0.008,0.365663322185061,0.24860646599777,0.385730211817168,0.038,0.055,0.111,0.076,0.007,0.005,0.012,0.008,0.148272017837235,0.224080267558528,0.24860646599777,0.379041248606466,0.054,0.068,0.085,0.038,0.115,0.004,0.004,0.006,0.007,0.01,0.216276477146042,0.193979933110368,0.239687848383501,0.1438127090301,0.206243032329989,"control"
"25","C65",0.152,0.077,0.025,0.023,0.552954292084727,0.447045707915273,0.133,0.077,0.176,0.012,0.023,0.016,0.33221850613155,0.435897435897436,0.231884057971014,0.176,0.053,0.093,0.133,0.017,0.013,0.009,0.011,0.232998885172798,0.182831661092531,0.256410256410256,0.327759197324415,0.122,0.053,0.093,0.177,0.143,0.007,0.013,0.009,0.016,0.006,0.168338907469342,0.182831661092531,0.243032329988852,0.21850613154961,0.187290969899666,"control"
"26","C02",0.221,0.072,0.092,0.018,0.207983898020798,0.792016101979202,0.256,0.064,0.103,0.082,0.013,0.013,0.15330426031533,0.60810130828581,0.238594431398859,0.104,0.256,0.079,0.058,0.012,0.082,0.003,0.01,0.220731298222073,0.152968802415297,0.210332103321033,0.415967796041597,0.08,0.052,0.104,0.069,0.256,0.003,0.008,0.012,0.003,0.082,0.177373364642737,0.274823884602482,0.224505199597451,0.170244884267024,0.153052666890305,"experiment"
