"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials"
"211","CTEEG023",-5116.35414198607,-7825.85935848938,-10083.7004579062,-11318.7745294,"experiment","1"
"212","CTEEG024",-27271.1392148727,-33251.6763571252,-37228.1000256563,-40892.4313753451,"experiment","1"
"213","CTEEG049",-9824.69757798319,-13495.1092196226,-16151.2703713998,-18330.6000530073,"experiment","1"
"214","CTEEG057",-7507.09388454191,-9489.46744271043,-11316.2832614993,-12396.4065868056,"experiment","1"
"215","CTEEG058",-11049.2044961859,-16636.3276358523,-20459.344312679,-23787.6239018086,"experiment","1"
"216","CTEEG060",-2999.27498255043,-3883.8158112349,-4644.85092535694,-5001.60733922854,"experiment","1"
"217","CTEEG002",957.385998570049,309.204595658725,63.8905945594525,-153.057381366825,"experiment","12"
"218","CTEEG003",1239.40483619296,562.265195397496,191.532303025237,-15.6384775873379,"experiment","12"
"219","CTEEG004",1603.46009518836,913.828942641835,423.320844194625,167.755988281425,"experiment","12"
"220","CTEEG005",-106.656375161371,-679.244891451302,-1202.10913554851,-1599.64417322265,"experiment","12"
"221","CTEEG006",767.175677412924,141.976134006556,-147.802693577759,-388.194864233212,"experiment","12"
"222","CTEEG008",784.673197319072,110.266335286508,-386.546273614083,-573.528575491921,"experiment","12"
"223","CTEEG009",8143.78540730669,4314.70695611741,389.618007819211,-1727.85554371407,"experiment","12"
"224","CTEEG011",832.743403895516,-67.6075093074114,-487.212739016774,-819.051161337776,"experiment","12"
"225","CTEEG012",1263.06675839848,275.831877580336,-273.913311544371,-590.853325362447,"experiment","12"
"226","CTEEG013",141.89122866714,-172.074199930987,-660.617081765028,-451.625086457177,"experiment","12"
"227","CTEEG015",1321.45201002599,716.945843508634,400.05486070643,-55.0527305753485,"experiment","12"
"228","CTEEG017",-152.352307671782,-520.768021946359,-1024.088722798,-1337.92846578708,"experiment","12"
"229","CTEEG018",484.110574076811,165.624162220978,-227.072434159284,-455.463652311885,"experiment","12"
"230","CTEEG019",437.126343838569,-302.656731606319,-631.617113124775,-946.022923893791,"experiment","12"
"231","CTEEG021",-439.351993545956,-892.71215193906,-1290.22345920361,-1218.5552353784,"experiment","12"
"232","CTEEG022",5299.99138416499,3121.62172459872,1768.78600309479,799.603478748113,"experiment","12"
